Location ID,Number of Responses,Average Value
7e4582a4-37c2-4a56-a8ce-c6d0393c7c93,2366,7.215168059435087
feaf1a81-bed4-43ab-af9a-b75fab46d619,2381,7.380088658263637
e65b05ee-5833-46c8-a3f3-bb1f1980d560,2379,6.213471622470621
bd0636e8-11e5-4106-a45e-b0425bafaec6,2348,8.330840748472498
4c37d043-51a5-49b2-94fb-893613c4171b,2356,11.246555539340573
6ab7c44f-83a6-4dab-b709-1ac33c120148,2374,3.755654442018638
f38ccbb0-c73b-45f1-91f5-021caa66a266,2372,7.776672169083553
97fd0dcc-3e2d-431e-8e64-f95752fb9627,2378,3.3165221665304188
48ba7c46-8790-497d-a199-96c633112f84,2346,8.441467222553388
dfa6164f-2cdd-4cfd-b5ec-c7e41c2c69a1,2377,3.250030091644461
c5ca065b-eb15-4cb5-af3b-f958253744b6,2363,10.345868618647224
1af15f21-eba5-4cc9-8320-19ea9372e712,2352,7.991970576171132
2fadbb04-673d-4846-a88d-195ff91e8aa1,2366,10.144122432558161
d55f5505-4406-41a6-bb45-883b7b6c435b,2388,8.339470835540968
032dd960-4eda-472a-b225-b752763a2599,2367,6.876090338794557
32c46883-8ae2-478f-95b1-1152493ab138,2376,10.422782896774677
acfe0837-ba5d-4d92-9105-28ec81b5f833,2354,8.902033471251197
7cea82fd-214e-481c-99a5-d97c9b7744af,2365,8.925656110760375
8c806681-484a-4e16-af92-b736773f23d5,2388,9.312271310314994
b9b0f73c-c23a-49a6-9c0d-e5a000bd0dbe,2367,5.200085344353555
17fc30ba-00b2-47e1-ace1-be5e6dcd1f73,2400,2.592516186218357
1e2dd0d3-0438-4b0c-8172-1ac74e2d667b,2374,11.121947340491833
a91cc04c-07b5-4e3b-8d4b-f03aade7e1f4,2361,3.0847438343827003
72ddee89-d44a-43b7-a384-4fd79b663f8e,2400,5.033488146209974
5431fc57-f995-4b4a-9d58-383717e76c03,2341,3.429484046806617
80824be5-67d2-4e7d-8d02-0940dd266a92,2404,4.844160165961652
6e9009e6-2a09-43f9-8049-50139eb3e40c,2393,8.40081210923735
802892b9-1819-485b-873b-440cfe2f251a,2369,8.577146767531163
7b088694-26a7-4719-aa62-baaad52e2994,2367,10.78800567664444
81182892-1446-41e8-9f3b-de699d89a931,2350,11.550804054550929
41b6e660-22bf-4b7e-a645-d54ba2d86323,2364,9.998524363901504
9a61e9ca-145e-4005-aac5-78f04be4aa65,2380,6.840417200118624
bab1527b-9cf2-4ddd-bae0-0295f823215c,2336,3.790528033901402
bd75478c-8fb0-4f3e-ab6d-c706df5da70a,2390,4.155861257927285
db64b325-a1e3-4721-ab81-f42555eea9dc,2371,8.306663875153108
24497e48-04f8-45c8-b587-67aa0f17919b,2363,5.003416038195604
93686744-72a6-4ab0-95d3-920fa80b2d44,2342,6.454654601985092
3f3f4c2e-8b77-4f8c-b000-dbcdc00938e7,2378,5.806376608481822
3ff125c1-4d31-440f-8656-a19a9a71e913,2377,4.515299761486466
9c75df7c-affa-4ef2-95c1-ac4e3eefb144,2388,11.009176756536787
0aebfc85-9e44-4f3f-aaec-8d5be8567afd,2359,5.547562114885368
587b4287-ec52-4580-a95e-4cd787dc991a,2376,5.707580869233702
fd64f851-87a8-4efe-ac5e-a599000ea67f,2348,8.56813770691313
08a39a01-cd31-4924-b6ca-e4e7b2b84805,2373,11.444506182011851
9b227052-0a47-4c51-98ed-d0f9f22f36fa,2391,4.863885920865143
942d332d-ef74-4349-a80c-229c2db5c179,2382,6.167050323082007
e0331b12-d020-45b3-a024-a69a108f2472,2386,4.966135695304507
4819384d-c9ac-4d9d-9c64-6f19c52d5517,2389,3.574968819148163
1df5cef2-1874-44e3-816c-24317ce9a923,2386,7.002931697228628
b9c32793-223e-41ba-8432-119f121577ae,2365,4.1189661706454945
840be561-4f1b-43eb-8c61-b8afb6671fa9,2411,3.788913457629392
36f2977f-05b2-410b-a839-95a040dc72cf,2353,9.286483799182806
c477d576-d0cb-43d2-a99e-748150aaeeeb,2393,3.383217404701689
19e1abf1-322a-49f9-ba8f-929eb63faa32,2378,3.819349853860782
04e006a1-4011-498b-a801-2af29ce48727,2376,9.753620147908551
b204e390-6b36-4ed1-9dac-018c77396e98,2368,9.552285235266762
ff1aea84-5b3b-4d9f-8791-318bbe4eed96,2382,7.320408644995406
e32bc10f-cc77-4f96-b458-b712513f507d,2366,6.386368342261612
8433c5df-be2d-44b0-b579-15d2e2674ff9,2381,5.956153608335186
89a42d18-e823-485e-bdcf-bad97737c43d,2359,6.543273396720785
360f0c32-1de8-4d30-a872-3697f9ed54e5,2376,4.797717858700251
d4c16766-65d8-472c-9810-266bdfa6de3b,2393,4.457528863113374
3e43621f-f1fd-4c86-ac23-d588b4475218,2392,10.64729603731978
177d46c6-a44d-4d87-a95d-93596d95dee9,2397,8.49507286996207
4c0ba005-f1a1-45f7-b0ba-945f2e8edaf9,2364,8.875230052735253
3972471b-1e1e-4963-8601-f6996b61b350,2355,7.3593407598702205
6f5eed4c-4cbc-4789-8049-d5aaef3661cf,2368,6.9529023882580345
f5dd4a4d-0793-4ea0-87dd-daf99e812b23,2365,8.847655195508153
30ead524-0721-4e41-8a3a-f5da4d45f3ae,2380,11.539416858249302
94ae24d4-799c-4819-82b1-68b9b34275a5,2369,6.258830354899579
166ce664-08fe-408e-9bc0-5fdfda672fbd,2332,10.020269853966347
95d50a78-605f-4a32-9807-f28aa8c93021,2379,6.854059275608851
0d8ead45-fca4-4ca1-a0a1-7622de137908,2383,3.5297535909276996
296edc56-2725-4b45-817d-c00cfba039c5,2388,9.501211803142551
